2026-06-24 14:40:27 INFO  Element : By.xpath: //*[contains(@ng-show,'flt.totalFare')]is set to displayed : true
2026-06-24 14:40:30 INFO  Element clicked : By.xpath: //div[contains(@aria-label,'Departure From')]
2026-06-24 14:40:31 INFO  Boston: Text entered in element : By.xpath: //label[text()='Departure From']/..//input
2026-06-24 14:40:31 INFO  Element clicked : By.xpath: //span[text()='Date']/following-sibling::input[@name='flight_depart_date_0']
2026-06-24 14:40:32 INFO  Element clicked : By.xpath: //li//span[text()='Boston']
2026-06-24 14:40:32 INFO  Element clicked : By.xpath: //div[contains(@aria-label,'Going To')]
2026-06-24 14:40:32 INFO  Amsterdam: Text entered in element : By.xpath: //label[text()='Going To']/..//input
2026-06-24 14:40:33 INFO  Element clicked : By.xpath: //li//span[text()='Amsterdam']
2026-06-24 14:40:34 INFO  Element clicked : By.xpath: //span[text()='Departure Date']/ancestor::div[contains(@aria-label,'Departure Date')]
2026-06-24 14:40:34 INFO  Element : By.xpath: //div[contains(@class,'yatra-calendar')]is set to displayed : true
2026-06-24 14:40:34 INFO  1 : Element found for the locator : By.xpath: //div[@class='header-content-wrapper']//span[text()='July 2026']
2026-06-24 14:40:34 INFO  Element : By.xpath: //div[@class='datepicker-inner full']is set to displayed : true
2026-06-24 14:40:34 INFO  1 : Element found for the locator : By.xpath: //div[@class='month-name full' and contains(text(),'Jun 2026')]
2026-06-24 14:40:35 INFO  Element clicked : By.xpath: //div[@class='month-name full' and contains(text(),'Jun 2026')]/..//span[@class='full date-val' and text()='27']
2026-06-24 14:40:35 INFO  Element clicked : By.xpath: //div[@class='react-datepicker__month-container'][.//span[contains(.,'July') and contains(.,'2026')]]//div[contains(@aria-label,'Choose')]/span[contains(text(),'4')]
2026-06-24 14:40:35 INFO  Element clicked : By.xpath: //span[text()='Return Date']/ancestor::div[contains(@aria-label,'Return Date')]
2026-06-24 14:40:36 INFO  Element : By.xpath: //div[contains(@class,'yatra-calendar')]is set to displayed : true
2026-06-24 14:40:36 INFO  1 : Element found for the locator : By.xpath: //div[@class='header-content-wrapper']//span[text()='July 2026']
2026-06-24 14:40:36 INFO  Element clicked : By.xpath: //div[@class='react-datepicker__month-container'][.//span[contains(.,'July') and contains(.,'2026')]]//div[contains(@aria-label,'Choose')]/span[contains(text(),'24')]
2026-06-24 14:40:37 INFO  Element clicked : By.xpath: //span[text()='Travellers & Class']/ancestor::div[contains(@aria-label,'Travellers class')]
2026-06-24 14:40:37 INFO  Element : By.xpath: //button[text()='Done']is set to displayed : true
2026-06-24 14:40:37 INFO  Element clicked : By.xpath: //p[text()='Adult']/following-sibling::div//li[text()='2']
2026-06-24 14:40:38 INFO  Element clicked : By.xpath: //p[text()='Child']/following-sibling::div//li[text()='2']
2026-06-24 14:40:38 INFO  Element clicked : By.xpath: //p[text()='Infant']/following-sibling::div//li[text()='1']
2026-06-24 14:40:38 INFO  Element clicked : By.xpath: //label[@aria-label='Premium Economy']
2026-06-24 14:40:39 INFO  Element clicked : By.xpath: //button[text()='Done']
2026-06-24 14:40:42 INFO  Element clicked : By.xpath: //button[text()='Search']
2026-06-24 14:40:42 INFO  Element clicked : By.xpath: //button/span[text()='Search Again']
2026-06-24 14:40:42 INFO  Element : By.xpath: //*[contains(@ng-show,'flt.totalFare')]is set to displayed : true
2026-06-24 14:40:43 INFO  Element clicked : By.xpath: //span[text()='Date']/following-sibling::input[@name='flight_depart_date_0']
2026-06-24 14:40:44 INFO  Element : By.xpath: //div[@class='datepicker-inner full']is set to displayed : true
2026-06-24 14:40:44 INFO  1 : Element found for the locator : By.xpath: //div[@class='month-name full' and contains(text(),'Jun 2026')]
2026-06-24 14:40:44 INFO  Element clicked : By.xpath: //div[@class='month-name full' and contains(text(),'Jun 2026')]/..//span[@class='full date-val' and text()='28']
2026-06-24 14:40:46 INFO  Element clicked : By.xpath: //button/span[text()='Search Again']
2026-06-24 14:41:00 INFO  Element : By.xpath: //*[contains(@ng-show,'flt.totalFare')]is set to displayed : true
2026-06-24 14:41:01 INFO  Element clicked : By.xpath: //span[text()='Date']/following-sibling::input[@name='flight_depart_date_0']
2026-06-24 14:41:02 INFO  Element : By.xpath: //div[@class='datepicker-inner full']is set to displayed : true
2026-06-24 14:41:02 INFO  1 : Element found for the locator : By.xpath: //div[@class='month-name full' and contains(text(),'Jul 2026')]
2026-06-24 14:41:02 INFO  Element : By.xpath: //*[contains(@ng-show,'flt.totalFare')]is set to displayed : true
2026-06-24 14:41:03 INFO  Element clicked : By.xpath: //div[@class='month-name full' and contains(text(),'Jul 2026')]/..//span[@class='full date-val' and text()='5']
2026-06-24 14:41:03 INFO  Element clicked : By.xpath: //span[text()='Date']/following-sibling::input[@name='flight_depart_date_0']
2026-06-24 14:41:06 INFO  Element : By.xpath: //div[@class='datepicker-inner full']is set to displayed : true
2026-06-24 14:41:06 INFO  1 : Element found for the locator : By.xpath: //div[@class='month-name full' and contains(text(),'Jun 2026')]
2026-06-24 14:41:06 INFO  Element clicked : By.xpath: //div[@class='month-name full' and contains(text(),'Jun 2026')]/..//span[@class='full date-val' and text()='29']
2026-06-24 14:41:08 INFO  Element clicked : By.xpath: //button/span[text()='Search Again']
2026-06-24 14:41:08 INFO  Element clicked : By.xpath: //button/span[text()='Search Again']
2026-06-24 14:41:08 INFO  Element : By.xpath: //*[contains(@ng-show,'flt.totalFare')]is set to displayed : true
2026-06-24 14:41:09 INFO  Element : By.xpath: //*[contains(@ng-show,'flt.totalFare')]is set to displayed : true
2026-06-24 14:41:10 INFO  Element clicked : By.xpath: //span[text()='Date']/following-sibling::input[@name='flight_depart_date_0']
2026-06-24 14:41:10 INFO  Element : By.xpath: //div[@class='datepicker-inner full']is set to displayed : true
2026-06-24 14:41:10 INFO  1 : Element found for the locator : By.xpath: //div[@class='month-name full' and contains(text(),'Jul 2026')]
2026-06-24 14:41:10 INFO  Element clicked : By.xpath: //div[@class='month-name full' and contains(text(),'Jul 2026')]/..//span[@class='full date-val' and text()='6']
2026-06-24 14:41:13 INFO  Element clicked : By.xpath: //span[text()='Date']/following-sibling::input[@name='flight_depart_date_0']
2026-06-24 14:41:17 INFO  Element clicked : By.xpath: //button/span[text()='Search Again']
2026-06-24 14:41:17 INFO  Element : By.xpath: //*[contains(@ng-show,'flt.totalFare')]is set to displayed : true
2026-06-24 14:41:19 INFO  Element clicked : By.xpath: //span[text()='Date']/following-sibling::input[@name='flight_depart_date_0']
2026-06-24 14:41:19 INFO  Element : By.xpath: //div[@class='datepicker-inner full']is set to displayed : true
2026-06-24 14:41:19 INFO  1 : Element found for the locator : By.xpath: //div[@class='month-name full' and contains(text(),'Jul 2026')]
2026-06-24 14:41:19 INFO  Element clicked : By.xpath: //div[@class='month-name full' and contains(text(),'Jul 2026')]/..//span[@class='full date-val' and text()='7']
2026-06-24 14:41:20 INFO  Element clicked : By.xpath: //button/span[text()='Search Again']
2026-06-24 14:41:37 INFO  Element : By.xpath: //*[contains(@ng-show,'flt.totalFare')]is set to displayed : true
2026-06-24 14:41:38 INFO  Element clicked : By.xpath: //span[text()='Date']/following-sibling::input[@name='flight_depart_date_0']
2026-06-24 14:41:38 INFO  Element : By.xpath: //div[@class='datepicker-inner full']is set to displayed : true
2026-06-24 14:41:38 INFO  1 : Element found for the locator : By.xpath: //div[@class='month-name full' and contains(text(),'Jul 2026')]
2026-06-24 14:41:39 INFO  Element clicked : By.xpath: //div[@class='month-name full' and contains(text(),'Jul 2026')]/..//span[@class='full date-val' and text()='8']
2026-06-24 14:41:43 INFO  Element clicked : By.xpath: //button/span[text()='Search Again']
2026-06-24 14:41:44 INFO  Element : By.xpath: //*[contains(@ng-show,'flt.totalFare')]is set to displayed : true
2026-06-24 14:41:44 INFO  Element clicked : By.xpath: //span[text()='Date']/following-sibling::input[@name='flight_depart_date_0']
2026-06-24 14:41:45 INFO  Element : By.xpath: //div[@class='datepicker-inner full']is set to displayed : true
2026-06-24 14:41:45 INFO  1 : Element found for the locator : By.xpath: //div[@class='month-name full' and contains(text(),'Jul 2026')]
2026-06-24 14:41:45 INFO  Element clicked : By.xpath: //div[@class='month-name full' and contains(text(),'Jul 2026')]/..//span[@class='full date-val' and text()='9']
2026-06-24 14:41:46 INFO  Element clicked : By.xpath: //button/span[text()='Search Again']
2026-06-24 14:41:50 INFO  Element : By.xpath: //*[contains(@ng-show,'flt.totalFare')]is set to displayed : true
2026-06-24 14:41:50 INFO  Element clicked : By.xpath: //span[text()='Date']/following-sibling::input[@name='flight_depart_date_0']
2026-06-24 14:41:50 INFO  Element : By.xpath: //div[@class='datepicker-inner full']is set to displayed : true
